"F1AE3259       ","MV105 ALE 3/0 15KV 100 CTS(CT)","MV105 3/0AL, 175EPR, CTS,  PVC","F05",15.000     ,1     ,"EPR",85.00    ,"3/0 AWG   ","I03","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.302     ,.666     ,1.12       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","038","YES","NA1"
"F1AE3261       ","MV105 ALE 4/0 15KV 100 CTS(CT)","MV105 4/0AL, 175EPR, CTS,  PVC","F05",15.000     ,1     ,"EPR",107.00   ,"4/0 AWG   ","I03","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.338     ,.745     ,1.18       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","038","YES","NA1"
"F1AE3263       ","MV105 ALE 250 15KV 100 CTS(CT)","MV105 250AL, 175EPR, CTS,  PVC","F05",15.000     ,1     ,"EPR",127.00   ,"250 MCM   ","I03","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.366     ,.807     ,1.23       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","038","YES","NA1"
"F1AE3265       ","MV105 ALE 350 15KV 100 CTS(CT)","MV105 350AL, 175EPR, CTS,  PVC","F05",15.000     ,1     ,"EPR",177.00   ,"350 MCM   ","I03","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.437     ,.963     ,1.33       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","038","YES","NA1"
"F1AE3267       ","MV105 ALE 500 15KV 100 CTS(CT)","MV105 500AL, 175EPR, CTS,  PVC","F05",15.000     ,1     ,"EPR",253.00   ,"500 MCM   ","I03","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.536     ,1.182    ,1.46       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","038","YES","NA1"
"F1AE3269       ","MV105 ALE 750 15KV 100 CTS(CT)","MV105 750AL, 175EPR, CTS,  PVC","F05",15.000     ,1     ,"EPR",380.00   ,"750 MCM   ","I03","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.697     ,1.537    ,1.66       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","038","YES","NA1"
"F1AE3271       ","MV105 ALE 1000 15KV 100CTS(CT)","MV105 1000AL,175EPR, CTS,  PVC","F05",15.000     ,1     ,"EPR",507.00   ,"1000 MCM  ","I03","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.901     ,1.986    ,1.86       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","038","YES","NA1"
"F1AE3275       ","MV105 ALE 1/0 15KV 133 CTS(CT)","MV105 1/0AL, 220EPR, CTS,  PVC","F05",15.000     ,1     ,"EPR",53.00    ,"1/0 AWG   ","I04","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.291     ,.642     ,1.12       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","025","YES","NA1"
"F1AE3277       ","MV105 ALE 2/0 15KV 133 CTS(CT)","MV105 2/0AL, 220EPR, CTS,  PVC","F05",15.000     ,1     ,"EPR",67.00    ,"2/0 AWG   ","I04","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.317     ,.699     ,1.17       ,"MAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","025","YES","NA1"
"F1AE32773      ","MV105 ALE 3*2AWG+G6AWG 5K 133%","MV105 3/C2AWG+G 115EPR,CTS,PVC","F05",5.000      ,3     ,"EPR",33.00    ,"2 AWG     ","I02","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.733     ,1.616    ,1.68       ,"3AE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","032","YES","NA1"
"F1AE32774      ","MV105 ALE 3*1AWG+G6AWG 5K 133%","MV105 3/C1AWG+G 115EPR,CTS,PVC","F05",5.000      ,3     ,"EPR",42.00    ,"1 AWG     ","I02","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.841     ,1.854    ,1.81       ,"3AE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","032","YES","NA1"
"F1AE32775      ","MV105 ALE 3*1/0+G6AWG 5KV 133%","MV105 3/C1/0 +G 115EPR,CTS,PVC","F05",5.000      ,3     ,"EPR",53.00    ,"1/0 AWG   ","I02","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",.924     ,2.037    ,1.89       ,"3AE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","032","YES","NA1"
"F1AE32777      ","MV105 ALE 3*2/0+G4AWG 5KV 133%","MV105 3C2/0  +G 115EPR,CTS,PVC","F05",5.000      ,3     ,"EPR",67.00    ,"2/0 AWG   ","I02","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",1.036    ,2.284    ,.00        ,"3AE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","032","YES","NA1"
"F1AE32779      ","MV105 ALE 3*3/0+G4AWG 5KV 133%","MV105 3C3/0  +G 115EPR,CTS,PVC","F05",5.000      ,3     ,"EPR",85.00    ,"3/0 AWG   ","I02","SH1","T02","MAE","PVC","AWG","S31","AL ","PRS",1.188    ,2.619    ,.00        ,"3AE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","032","YES","NA1"
