"CLS","BAP","BS AL PVC                               "
"PIC","BAP","BS AL PVC                               "
"PIC","BCP","BS CU PVC                               "
"CLS","BCP","BS CU PVC                               "
"CLS","ECM","EU CU TRX MV                            "
"PIC","ECM","EU CU TRX MV                            "
"CLS","EAM","EU AL TRX MV                            "
"PIC","EAM","EU AL TRX MV                            "
"CLS","EAP","EU AL PVC                               "
"PIC","EAP","EU AL PVC                               "
"CLS","ECP","EU CU PVC                               "
"PIC","ECP","EU CU PVC                               "
"CLS","ECX","EU CU XLP                               "
"PIC","ECX","EU CU XLP                               "
"CLS","EAX","EU AL XLP                               "
"PIC","EAX","EU AL XLP                               "
"CLS","BBC","BS BOND. CABLE                          "
"PIC","BBC","BS BOND. CABLE                          "
"CLS","EXR","EU XLPE/RADAFLEX                        "
"PIC","EXR","EU XLPE/RADAFLEX                        "
"CLS","EFW","EUFLEX Welding                          "
"PIC","EFW","EUFLEX Welding                          "
"CLS","MPF","Mine Power Feeder XLPE PVC              "
"PIC","MPF","Mine Power Feeder XLPE PVC              "
"CMA","CUT","Tinned Copper                           "
"SHL","SF3","64x#09                                  "
"CLS","RDH","RADAFLEX HO7V-K                         "
"CLS","WST","Welding Cable SIBO TRC                  "
"CLS","DSI","DASHFLEX SI                             "
"CLS","DTS","DUOFLEX TWIN HFFR SI                    "
"CLS","RSI","RADAFLEX 200V                           "
"CLS","HFL","HI-FLEX LEAD FREE                       "
"PIC","RDH","RADAFLEX HO7V-K                         "
"PIC","WST","Welding Cable SIBO TRC                  "
"PIC","DSI","DASHFLEX SI                             "
"PIC","DTS","DUOFLEX TWIN HFFR SI                    "
"PIC","RSI","RADA SI                                 "
"PIC","HFL","HI-FLEX LEAD FREE                       "
"SHL","SF4","15x#16                                  "
"SHL","SF5","29x#12AWG                               "
"SHL","SF6","58x#9AWG                                "
"SCR","SH7","Copper Tape + Copper wires              "
"CLS","AAX","Australia Aluminum TRXLPE               "
"CLS","ACX","Australia Copper TRXLPE                 "
"CLS","110","Flexible 110C                           "
"SHL","SF7","23x#14                                  "
"SHL","SF8","19x#16                                  "
"SHL","SF9","44x#16AWG                               "
"OUT","XLP","XLPE                                    "
"RMG","CU ","CU                                      "
"RMG","XLP","XLPE HFDB 4202 EC TR                    "
"RMG","SC ","                          »≈∫‘ ∆≈»¡  ≈“√"
"RMG","SCP","                         œ»”ÿ  ∆≈»¡  ≈“√"
"RMG","HDP","HDPE                          ¿ƒŒ » ‘ ¡√"
"RMG","MDP","MDPE                          ¿ƒŒ » ‘ ¡√"
"RMG","LDP","LLPDE                         ¿ƒŒ » ‘ ¡√"
"RMG","EPR","                         ≈ ¡∫ ø¡ø≈™ ‘ ¡√"
"RMG","SEP","SEMI EPR                  ≈ ¡∫ ∆≈»¡  ≈“√"
